neighborhood,latitude,longitude,num_schools,num_hospitals,num_parks,num_metro_stations,nearest_station,distance_to_station_km,Station_Name,PM25_Annual,PM25_Winter,PM25_Monsoon,Traffic_Index,Rent_Price,PM25_Winter_scaled,PM25_Monsoon_scaled,Traffic_Index_scaled,num_schools_scaled,num_hospitals_scaled,num_parks_scaled,Rent_Price_scaled,Cluster_ID
Adarsh Nagar,28.7161,77.1706,19,7,48,6,Jahangirpuri,1.85,Jahangirpuri,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.8636363636363636,0.4117647058823529,0.3453237410071942,0.0,1
Alaknanda,28.5255,77.2471,0,0,0,0,Okhla Phase-2,2.44,Okhla Phase-2,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.0,0.0,0.0,0.0,0
Alipur,28.7973,77.1331,0,0,0,0,Alipur,2.78,Alipur,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Anand Vihar,28.6465,77.3122,3,4,31,5,Anand Vihar,0.37,Anand Vihar,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.1363636363636363,0.2352941176470588,0.2230215827338129,0.0,2
Ashok Vihar,28.6917,77.1742,0,0,0,0,Ashok Vihar,0.83,Ashok Vihar,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Badarpur,28.5034,77.3047,0,0,0,0,Dr. Karni Singh Shooting Range,4.02,Dr. Karni Singh Shooting Range,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.0,0.0,0.0,0.0,0
Bali Nagar,28.6534,77.1306,11,5,19,7,Shadipur,1.65,Shadipur,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.5,0.2941176470588235,0.1366906474820144,0.0,1
Bawana,28.7946,77.0396,0,0,0,0,Bawana,2.33,Bawana,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Chanakyapuri,28.5919,77.1852,0,0,0,0,R.K. Puram,3.19,R.K. Puram,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.0,0.0,0.0,0.0,0
Chandni Chowk,28.6606,77.2273,4,2,11,18,North Campus (DU),3.67,North Campus (DU),66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.1818181818181818,0.1176470588235294,0.079136690647482,0.0,2
Chhattarpur,28.5038,77.1818,0,0,0,0,Sri Aurobindo Marg,3.16,Sri Aurobindo Marg,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.0,0.0,0.0,0.0,0
Civil Lines,28.6814,77.2229,2,3,1,6,North Campus (DU),1.81,North Campus (DU),66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0909090909090909,0.1764705882352941,0.0071942446043165,0.0,2
Connaught Place,28.6315,77.2167,6,6,14,27,Mandir Marg,1.84,Mandir Marg,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.2727272727272727,0.3529411764705882,0.1007194244604316,0.0,1
Daryaganj,28.643,77.2407,10,14,15,9,ITO,1.61,ITO,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.4545454545454546,0.8235294117647058,0.1079136690647482,0.0,1
Defence Colony,28.5724,77.2334,19,7,124,5,Jawaharlal Nehru Stadium,0.87,Jawaharlal Nehru Stadium,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.8636363636363636,0.4117647058823529,0.8920863309352518,0.0,0
Delhi Cantt,28.5961,77.1587,0,0,0,0,Pusa (IMD),4.44,Pusa (IMD),66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Dilshad Garden,28.6844,77.3197,7,7,59,2,Vivek Vihar,1.41,Vivek Vihar,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.3181818181818182,0.4117647058823529,0.4244604316546763,0.0,1
Dwarka,28.5823,77.05,5,3,29,4,Dwarka Sector-8,2.48,Dwarka Sector-8,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.2272727272727273,0.1764705882352941,0.2086330935251798,0.0,0
East of Kailash,28.5562,77.2464,11,7,58,10,Nehru Nagar,1.36,Nehru Nagar,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.5,0.4117647058823529,0.4172661870503597,0.0,0
