neighborhood,latitude,longitude,num_schools,num_hospitals,num_parks,num_metro_stations,nearest_station,distance_to_station_km,Station_Name,PM25_Annual,PM25_Winter,PM25_Monsoon,Traffic_Index,Rent_Price,PM25_Winter_scaled,PM25_Monsoon_scaled,Traffic_Index_scaled,num_schools_scaled,num_hospitals_scaled,num_parks_scaled,Rent 1 BHK (?),Rent 2 BHK (?),Rent 3 BHK (?)
Adarsh Nagar,28.7161,77.1706,19,7,48,6,Jahangirpuri,1.85,Jahangirpuri,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.863636364,0.411764706,0.345323741,"7,000 – 12,000","14,000 – 22,000","24,000 – 35,000"
Alaknanda,28.5255,77.2471,0,0,0,0,Okhla Phase-2,2.44,Okhla Phase-2,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0,0,0,"18,000 – 26,000","28,000 – 42,000","45,000 – 70,000"
Alipur,28.7973,77.1331,0,0,0,0,Alipur,2.78,Alipur,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"5,000 – 8,000","9,000 – 14,000","15,000 – 22,000"
Anand Vihar,28.6465,77.3122,3,4,31,5,Anand Vihar,0.37,Anand Vihar,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.136363636,0.235294118,0.223021583,"15,000 – 22,000","25,000 – 38,000","45,000 – 70,000"
Ashok Vihar,28.6917,77.1742,0,0,0,0,Ashok Vihar,0.83,Ashok Vihar,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"16,000 – 24,000","28,000 – 42,000","45,000 – 75,000"
Badarpur,28.5034,77.3047,0,0,0,0,Dr. Karni Singh Shooting Range,4.02,Dr. Karni Singh Shooting Range,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0,0,0,"7,000 – 11,000","12,000 – 18,000","20,000 – 28,000"
Bali Nagar,28.6534,77.1306,11,5,19,7,Shadipur,1.65,Shadipur,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.5,0.294117647,0.136690647,"15,000 – 22,000","28,000 – 40,000","45,000 – 65,000"
Bawana,28.7946,77.0396,0,0,0,0,Bawana,2.33,Bawana,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"5,000 – 8,000","9,000 – 14,000","15,000 – 20,000"
Chanakyapuri,28.5919,77.1852,0,0,0,0,R.K. Puram,3.19,R.K. Puram,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0,0,0,"80,000 – 1.2L",1.5L – 2.5L,3.0L – 7.0L
Chandni Chowk,28.6606,77.2273,4,2,11,18,North Campus (DU),3.67,North Campus (DU),66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.181818182,0.117647059,0.079136691,"10,000 – 18,000","18,000 – 30,000","35,000 – 55,000"
Chhattarpur,28.5038,77.1818,0,0,0,0,Sri Aurobindo Marg,3.16,Sri Aurobindo Marg,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0,0,0,"12,000 – 18,000","20,000 – 30,000","32,000 – 45,000"
Civil Lines,28.6814,77.2229,2,3,1,6,North Campus (DU),1.81,North Campus (DU),66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.090909091,0.176470588,0.007194245,"30,000 – 45,000","50,000 – 75,000","90,000 – 1.6L"
Connaught Place,28.6315,77.2167,6,6,14,27,Mandir Marg,1.84,Mandir Marg,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.272727273,0.352941176,0.100719424,"50,000 – 80,000",1.0L – 1.8L,2.5L – 5.0L
Daryaganj,28.643,77.2407,10,14,15,9,ITO,1.61,ITO,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.454545455,0.823529412,0.107913669,"12,000 – 20,000","22,000 – 35,000","40,000 – 60,000"
Defence Colony,28.5724,77.2334,19,7,124,5,Jawaharlal Nehru Stadium,0.87,Jawaharlal Nehru Stadium,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.863636364,0.411764706,0.892086331,"35,000 – 50,000","60,000 – 85,000",1.2L – 2.5L
Delhi Cantt,28.5961,77.1587,0,0,0,0,Pusa (IMD),4.44,Pusa (IMD),66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"18,000 – 28,000","30,000 – 45,000","55,000 – 85,000"
Dilshad Garden,28.6844,77.3197,7,7,59,2,Vivek Vihar,1.41,Vivek Vihar,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.318181818,0.411764706,0.424460432,"9,000 – 15,000","16,000 – 25,000","28,000 – 40,000"
Dwarka,28.5823,77.05,5,3,29,4,Dwarka Sector-8,2.48,Dwarka Sector-8,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.227272727,0.176470588,0.208633094,"16,000 – 24,000","26,000 – 42,000","42,000 – 75,000"
East of Kailash,28.5562,77.2464,11,7,58,10,Nehru Nagar,1.36,Nehru Nagar,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.5,0.411764706,0.417266187,"22,000 – 32,000","40,000 – 55,000","70,000 – 1.1L"
Gandhi Nagar,28.6652,77.2711,0,0,0,0,IHBAS (Dilshad Garden),3.54,IHBAS (Dilshad Garden),66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"7,000 – 12,000","13,000 – 20,000","22,000 – 32,000"
Geeta Colony,28.6535,77.2691,0,0,0,0,Patparganj,3.75,Patparganj,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"8,000 – 14,000","15,000 – 22,000","25,000 – 35,000"
Greater Kailash,28.5482,77.2326,7,6,51,11,Siri Fort,1.65,Siri Fort,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.318181818,0.352941176,0.366906475,"35,000 – 45,000","55,000 – 75,000",1.1L – 2.0L
Green Park,28.5589,77.2028,7,10,63,7,Siri Fort,1.59,Siri Fort,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.318181818,0.588235294,0.45323741,"28,000 – 38,000","48,000 – 65,000","85,000 – 1.4L"
Hari Nagar,28.6277,77.1044,0,0,0,0,Pusa (DPCC),4.3,Pusa (DPCC),66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"10,000 – 16,000","18,000 – 28,000","32,000 – 45,000"
Hauz Khas,28.5494,77.2001,9,4,55,9,Siri Fort,1.55,Siri Fort,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.409090909,0.235294118,0.395683453,"25,000 – 40,000","40,000 – 65,000","75,000 – 1.6L"
IP Extension,28.6293,77.3005,22,7,76,4,Patparganj,1.44,Patparganj,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,1,0.411764706,0.54676259,"14,000 – 20,000","22,000 – 32,000","38,000 – 55,000"
Janakpuri,28.6219,77.0878,6,8,30,5,NSIT Dwarka,5.59,NSIT Dwarka,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.272727273,0.470588235,0.215827338,"15,000 – 22,000","25,000 – 38,000","40,000 – 60,000"
Jangpura,28.5828,77.2435,12,1,64,6,Jawaharlal Nehru Stadium,0.99,Jawaharlal Nehru Stadium,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.545454545,0.058823529,0.460431655,"22,000 – 32,000","40,000 – 55,000","70,000 – 1.1L"
Kalkaji,28.5414,77.2515,14,7,86,13,Okhla Phase-2,2.27,Okhla Phase-2,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.636363636,0.411764706,0.618705036,"14,000 – 22,000","24,000 – 38,000","40,000 – 60,000"
Kamla Nagar,28.6806,77.2023,0,0,0,0,North Campus (DU),0.86,North Campus (DU),66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"18,000 – 30,000","32,000 – 55,000","60,000 – 1.0L"
Kanjhawala,28.7196,77.0016,0,0,0,0,Bawana,7.92,Bawana,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"5,000 – 8,000","9,000 – 14,000","15,000 – 20,000"
Karawal Nagar,28.7302,77.2741,0,0,0,0,Sonia Vihar,3.25,Sonia Vihar,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"5,000 – 9,000","10,000 – 15,000","16,000 – 22,000"
Karol Bagh,28.655,77.1888,0,0,0,0,Mandir Marg,2.28,Mandir Marg,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"16,000 – 26,000","28,000 – 45,000","50,000 – 80,000"
Kashmere Gate,28.6675,77.2285,3,2,7,11,North Campus (DU),3.15,North Campus (DU),66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.136363636,0.117647059,0.050359712,"10,000 – 16,000","18,000 – 28,000","30,000 – 45,000"
Kirti Nagar,28.6496,77.1422,3,5,2,3,Shadipur,0.54,Shadipur,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.136363636,0.294117647,0.014388489,"15,000 – 22,000","28,000 – 40,000","45,000 – 65,000"
Lajpat Nagar,28.5677,77.2433,15,9,139,8,Nehru Nagar,0.7,Nehru Nagar,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.681818182,0.529411765,1,"18,000 – 28,000","32,000 – 50,000","55,000 – 95,000"
Laxmi Nagar,28.6305,77.2773,15,4,31,11,Patparganj,1.23,Patparganj,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.681818182,0.235294118,0.223021583,"8,000 – 14,000","15,000 – 22,000","25,000 – 35,000"
Lodhi Colony,28.5878,77.2215,10,1,40,5,Lodhi Road,0.72,Lodhi Road,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.454545455,0.058823529,0.287769784,"30,000 – 45,000","55,000 – 85,000",1.0L – 1.8L
Malviya Nagar,28.5362,77.2114,18,14,91,10,Siri Fort,1.63,Siri Fort,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.818181818,0.823529412,0.654676259,"15,000 – 25,000","28,000 – 42,000","45,000 – 75,000"
Mangolpuri,28.6946,77.0722,0,0,0,0,Mundka,1.18,Mundka,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"5,000 – 9,000","10,000 – 15,000","16,000 – 22,000"
Mayur Vihar,28.6046,77.2911,19,4,36,5,Patparganj,2.15,Patparganj,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.863636364,0.235294118,0.258992806,"12,000 – 25,000","22,000 – 32,000","30,000 – 80,000"
Mehrauli,28.5204,77.1804,8,5,17,1,Sri Aurobindo Marg,1.54,Sri Aurobindo Marg,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.363636364,0.294117647,0.122302158,"9,000 – 15,000","16,000 – 25,000","28,000 – 40,000"
Model Town,28.7027,77.1939,3,4,27,4,Ashok Vihar,1.45,Ashok Vihar,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.136363636,0.235294118,0.194244604,"18,000 – 28,000","30,000 – 50,000","55,000 – 90,000"
Moti Bagh,28.5825,77.1683,9,5,29,9,R.K. Puram,2.81,R.K. Puram,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.409090909,0.294117647,0.208633094,"20,000 – 30,000","35,000 – 55,000","60,000 – 1.0L"
Mukherjee Nagar,28.7093,77.2144,0,0,0,0,Burari Crossing,2.22,Burari Crossing,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"10,000 – 18,000","20,000 – 32,000","35,000 – 50,000"
Munirka,28.5559,77.1702,5,1,26,8,R.K. Puram,1.82,R.K. Puram,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.227272727,0.058823529,0.18705036,"12,000 – 18,000","22,000 – 35,000","40,000 – 60,000"
Najafgarh,28.6092,76.9798,13,17,9,6,Najafgarh,0.85,Najafgarh,61.2,93.1,40.6,5.1,0,0,0,0,0.590909091,1,0.064748201,"6,000 – 10,000","11,000 – 18,000","18,000 – 28,000"
Narela,28.855,77.091,0,0,0,0,Narela,0.99,Narela,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"5,000 – 8,000","9,000 – 14,000","15,000 – 22,000"
Nehru Place,28.5492,77.2517,13,6,75,20,Nehru Nagar,2.08,Nehru Nagar,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.590909091,0.352941176,0.539568345,"20,000 – 30,000","35,000 – 50,000","55,000 – 85,000"
Okhla,28.5649,77.285,3,6,10,2,CRRI Mathura Road,1.88,CRRI Mathura Road,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.136363636,0.352941176,0.071942446,"10,000 – 18,000","20,000 – 30,000","35,000 – 50,000"
Palam,28.5866,77.085,9,8,17,3,Dwarka Sector-8,2.15,Dwarka Sector-8,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.409090909,0.470588235,0.122302158,"8,000 – 13,000","14,000 – 22,000","24,000 – 32,000"
Paschim Vihar,28.6685,77.0931,0,0,0,0,Punjabi Bagh,2.31,Punjabi Bagh,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"14,000 – 22,000","24,000 – 36,000","38,000 – 58,000"
Patel Nagar,28.6508,77.1652,10,2,24,6,Shadipur,1.75,Shadipur,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.454545455,0.117647059,0.172661871,"14,000 – 22,000","24,000 – 40,000","42,000 – 65,000"
Pitampura,28.7033,77.1323,20,7,61,5,Wazirpur,3.26,Wazirpur,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.909090909,0.411764706,0.438848921,"16,000 – 25,000","26,000 – 42,000","45,000 – 70,000"
Preet Vihar,28.6387,77.2974,19,5,72,4,Patparganj,1.94,Patparganj,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.863636364,0.294117647,0.517985612,"16,000 – 24,000","28,000 – 40,000","45,000 – 75,000"
Punjabi Bagh,28.6675,77.1259,4,8,25,1,Punjabi Bagh,0.9,Punjabi Bagh,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.181818182,0.470588235,0.179856115,"20,000 – 30,000","35,000 – 55,000","60,000 – 1.0L"
Rajouri Garden,28.6415,77.1209,8,3,14,6,Pusa (DPCC),2.49,Pusa (DPCC),66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.363636364,0.176470588,0.100719424,"18,000 – 28,000","30,000 – 48,000","55,000 – 85,000"
RK Puram,28.5653,77.1747,7,2,18,4,R.K. Puram,1.22,R.K. Puram,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.318181818,0.117647059,0.129496403,"20,000 – 32,000","35,000 – 55,000","60,000 – 95,000"
Rohini,28.7041,77.1025,0,0,0,0,Mundka,3.32,Mundka,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"7,500 – 20,000","12,000 – 32,000","15,000 – 50,000"
Safdarjung,28.5619,77.1969,7,9,52,7,R.K. Puram,0.99,R.K. Puram,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.318181818,0.529411765,0.374100719,"25,000 – 35,000","45,000 – 65,000","85,000 – 1.5L"
Saket,28.5246,77.2066,14,8,64,9,Sri Aurobindo Marg,1.77,Sri Aurobindo Marg,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.636363636,0.470588235,0.460431655,"18,000 – 28,000","27,000 – 35,000","35,000 – 75,000"
Sarita Vihar,28.529,77.3027,0,0,0,0,Okhla Phase-2,3.08,Okhla Phase-2,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0,0,0,"15,000 – 22,000","26,000 – 36,000","40,000 – 60,000"
Shahdara,28.6732,77.286,7,5,22,2,IHBAS (Dilshad Garden),1.84,IHBAS (Dilshad Garden),66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.318181818,0.294117647,0.158273381,"8,000 – 14,000","15,000 – 24,000","26,000 – 40,000"
Shalimar Bagh,28.7175,77.1528,4,5,32,3,Wazirpur,2.32,Wazirpur,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.181818182,0.294117647,0.230215827,"15,000 – 22,000","24,000 – 38,000","40,000 – 60,000"
South Extension,28.5701,77.2215,9,4,41,5,Jawaharlal Nehru Stadium,1.64,Jawaharlal Nehru Stadium,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0.409090909,0.235294118,0.294964029,"25,000 – 35,000","45,000 – 65,000","80,000 – 1.4L"
Sunder Nagar,28.6015,77.2378,0,0,0,0,Major Dhyan Chand Stadium,1.09,Major Dhyan Chand Stadium,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"50,000 – 75,000",1.0L – 1.5L,2.0L – 5.0L
Tilak Nagar,28.6365,77.0937,8,2,31,2,Punjabi Bagh,4.18,Punjabi Bagh,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.363636364,0.117647059,0.223021583,"10,000 – 16,000","15,000 – 25,000","28,000 – 45,000"
Uttam Nagar,28.6213,77.056,9,11,8,5,NSIT Dwarka,2.67,NSIT Dwarka,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.409090909,0.647058824,0.057553957,"5,000 – 12,000","11,000 – 18,000","18,000 – 28,000"
Vasant Kunj,28.5293,77.1519,0,0,0,0,Sri Aurobindo Marg,3.76,Sri Aurobindo Marg,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0,0,0,"20,000 – 30,000","35,000 – 55,000","55,000 – 95,000"
Vasant Vihar,28.5606,77.1627,0,0,0,0,R.K. Puram,2.39,R.K. Puram,70.1,106.2,42.8,8.3,0,1,0.75862069,1,0,0,0,"35,000 – 55,000","60,000 – 1.0L",1.5L – 4.0L
Vikas Puri,28.6346,77.0697,20,4,82,3,NSIT Dwarka,4.61,NSIT Dwarka,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.909090909,0.235294118,0.589928058,"12,000 – 22,000","Pas 20,000 – 36,000","35,000 – 58,000"
Vivek Vihar,28.6644,77.3117,0,0,0,0,Vivek Vihar,0.94,Vivek Vihar,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0,0,0,"15,000 – 22,000","25,000 – 40,000","45,000 – 70,000"
Yamuna Vihar,28.6931,77.2694,1,3,66,1,Sonia Vihar,2.74,Sonia Vihar,66.1,99.2,43.5,7,0,0.465648855,1,0.59375,0.045454545,0.176470588,0.474820144,"8,000 – 14,000","15,000 – 25,000","28,000 – 42,000"
