Station_Name,PM25_Annual,PM25_Winter,PM25_Monsoon,Traffic_Index
Mandir Marg,66.1,99.2,43.5,7.0
ITO,66.1,99.2,43.5,7.0
Pusa (DPCC),66.1,99.2,43.5,7.0
Pusa (IMD),66.1,99.2,43.5,7.0
Major Dhyan Chand Stadium,66.1,99.2,43.5,7.0
Jawaharlal Nehru Stadium,70.1,106.2,42.8,8.3
Dr. Karni Singh Shooting Range,70.1,106.2,42.8,8.3
Alipur,66.1,99.2,43.5,7.0
Narela,66.1,99.2,43.5,7.0
Bawana,66.1,99.2,43.5,7.0
DTU,66.1,99.2,43.5,7.0
Ashok Vihar,66.1,99.2,43.5,7.0
Jahangirpuri,66.1,99.2,43.5,7.0
Rohini,66.1,99.2,43.5,7.0
Sonia Vihar,66.1,99.2,43.5,7.0
Wazirpur,66.1,99.2,43.5,7.0
North Campus (DU),66.1,99.2,43.5,7.0
Burari Crossing,66.1,99.2,43.5,7.0
Siri Fort,70.1,106.2,42.8,8.3
R.K. Puram,70.1,106.2,42.8,8.3
Okhla Phase-2,70.1,106.2,42.8,8.3
Nehru Nagar,70.1,106.2,42.8,8.3
Sri Aurobindo Marg,70.1,106.2,42.8,8.3
Aya Nagar,70.1,106.2,42.8,8.3
Lodhi Road,70.1,106.2,42.8,8.3
CRRI Mathura Road,70.1,106.2,42.8,8.3
IGI Airport (T3),70.1,106.2,42.8,8.3
Anand Vihar,66.1,99.2,43.5,7.0
Vivek Vihar,66.1,99.2,43.5,7.0
Patparganj,66.1,99.2,43.5,7.0
IHBAS (Dilshad Garden),66.1,99.2,43.5,7.0
Punjabi Bagh,66.1,99.2,43.5,7.0
Shadipur,66.1,99.2,43.5,7.0
Mundka,66.1,99.2,43.5,7.0
NSIT Dwarka,66.1,99.2,43.5,7.0
Dwarka Sector-8,70.1,106.2,42.8,8.3
Najafgarh,61.2,93.1,40.6,5.1
