Neighborhood,Traffic_Index,Current_Speed_kmh,Free_Flow_Speed_kmh,Congestion_Confidence,Timestamp
Adarsh Nagar,3.85,16,26,0.9809,16:13
Alaknanda,2.12,26,33,1.0,16:13
Alipur,2.17,18,23,0.91394,16:13
Anand Vihar,0.0,39,39,1.0,16:13
Ashok Vihar,2.26,24,31,1.0,16:13
Badarpur,2.22,28,36,0.996115,16:13
Bali Nagar,3.33,20,30,0.998832,16:13
Bawana,0.0,40,40,1.0,16:13
Chanakyapuri,2.11,30,38,0.967184,16:13
Chandni Chowk,2.78,13,18,1.0,16:13
Chhattarpur,1.82,27,33,1.0,16:13
Civil Lines,0.0,35,35,1.0,16:13
Connaught Place,4.35,13,23,1.0,16:13
Daryaganj,4.48,16,29,0.993207,16:13
Defence Colony,4.12,10,17,0.913642,16:13
Delhi Cantt,1.25,35,40,1.0,16:13
Dilshad Garden,2.31,20,26,0.969283,16:13
Dwarka,2.12,26,33,1.0,16:13
East of Kailash,3.04,16,23,1.0,16:14
Gandhi Nagar,2.56,29,39,1.0,16:14
Geeta Colony,2.86,35,49,0.999844,16:14
Greater Kailash,3.79,18,29,1.0,16:14
Green Park,2.8,18,25,1.0,16:14
Hari Nagar,1.25,35,40,1.0,16:14
Hauz Khas,2.73,24,33,0.999324,16:14
IP Extension,0.0,23,23,1.0,16:14
Janakpuri,0.0,37,37,1.0,16:14
Jangpura,0.0,46,46,1.0,16:14
Kalkaji,2.14,22,28,1.0,16:14
Kamla Nagar,2.73,16,22,0.988469,16:14
Kanjhawala,0.0,42,42,1.0,16:14
Karawal Nagar,1.58,16,19,0.835669,16:14
Karol Bagh,2.06,27,34,1.0,16:14
Kashmere Gate,3.16,26,38,1.0,16:14
Kirti Nagar,3.03,23,33,1.0,16:14
Lajpat Nagar,2.5,21,28,1.0,16:14
Laxmi Nagar,2.5,27,36,1.0,16:14
Lodhi Colony,1.38,25,29,0.959904,16:14
Malviya Nagar,0.0,27,27,1.0,16:14
Mangolpuri,2.5,18,24,0.952017,16:14
Mayur Vihar,2.77,34,47,0.999844,16:14
Mehrauli,1.89,30,37,1.0,16:14
Model Town,3.06,25,36,1.0,16:14
Moti Bagh,5.48,19,42,1.0,16:14
Mukherjee Nagar,1.61,26,31,1.0,16:14
Munirka,2.11,30,38,1.0,16:14
Najafgarh,0.83,33,36,0.999978,16:14
Narela,2.19,25,32,0.984076,16:14
Nehru Place,3.57,18,28,1.0,16:14
Okhla,1.3,47,54,1.0,16:14
Palam,1.89,30,37,1.0,16:14
Paschim Vihar,1.57,43,51,1.0,16:14
Patel Nagar,2.16,29,37,1.0,16:14
Pitampura,1.84,31,38,1.0,16:14
Preet Vihar,0.0,25,25,1.0,16:14
Punjabi Bagh,0.0,50,50,1.0,16:14
Rajouri Garden,3.67,19,30,1.0,16:14
RK Puram,1.85,22,27,1.0,16:14
Rohini,3.79,18,29,0.997103,16:14
Safdarjung,2.92,17,24,1.0,16:15
Saket,1.82,18,22,1.0,16:15
Sarita Vihar,0.0,40,40,1.0,16:15
Shahdara,1.47,29,34,1.0,16:15
Shalimar Bagh,2.31,20,26,1.0,16:15
South Extension,4.32,25,44,1.0,16:15
Sunder Nagar,3.24,25,37,1.0,16:15
Tilak Nagar,3.0,21,30,0.999124,16:15
Uttam Nagar,3.67,19,30,1.0,16:15
Vasant Kunj,2.19,25,32,0.975653,16:15
Vasant Vihar,8.25,10,57,1.0,16:15
Vikas Puri,0.0,26,26,1.0,16:15
Vivek Vihar,0.0,30,30,1.0,16:15
Yamuna Vihar,3.33,12,18,0.954357,16:15
